p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1.100581557001899e-219,0.38136989396375376,0.266,0.094,4.0282385567826505e-215,16,CCDC6
1.983464871292678e-219,0.5295620796686129,0.676,0.39,7.259679775418332e-215,16,VAPA
3.954396854533289e-219,0.4739544496207255,0.515,0.253,1.4473487927277293e-214,16,IMPDH2
4.858532481539163e-218,0.6048974486064725,0.34,0.137,1.7782714735681492e-213,16,PRPF4B
2.3753003160900325e-217,0.4920402835527107,0.286,0.106,8.693836686921128e-213,16,ANKRD17
7.947975883763614e-217,0.422574048403506,0.374,0.156,2.9090386532163206e-212,16,SRRT
1.7221471462112494e-216,0.3183200937557473,0.281,0.103,6.303230769847794e-212,16,HSPB11
2.1120883973473377e-216,0.2701269644714832,0.29,0.107,7.73045474313099e-212,16,POLE3
1.7887447707582147e-215,0.4266119045674317,0.491,0.235,6.546984735452142e-211,16,WDR1
5.706957695147184e-215,0.3672554247973735,0.28,0.103,2.0888035860008207e-210,16,RNF126
2.7074040549705013e-214,0.5700108051662341,0.354,0.148,9.909369581597532e-210,16,ATP2A2
1.5354093580421613e-213,0.5859773804774221,0.252,0.088,5.619751791370115e-209,16,SERPINE1
2.607245717793996e-212,0.42780462877129954,0.489,0.229,9.542780051697806e-208,16,GPNMB
4.376045016350371e-212,0.5342303816293121,0.858,0.699,1.6016762364343994e-207,16,RPL4
9.699573027116166e-212,0.45937597041177347,0.476,0.228,3.550140723654788e-207,16,PLIN3
1.1980377617933184e-211,0.3788967938764347,0.295,0.113,4.384938011939725e-207,16,SSRP1
8.751416834682597e-211,0.40430553235993516,0.528,0.263,3.2031060756621775e-206,16,RSL24D1
3.0997930224576576e-210,0.5917138811449211,0.341,0.141,1.1345552441497272e-205,16,HECTD1
1.2332838232691933e-209,0.35406587912421894,0.285,0.107,4.513942121547574e-205,16,TICAM1
1.313985091079257e-209,0.5041020744708594,0.289,0.11,4.809316831859189e-205,16,NOP56
3.5355764305187296e-209,0.4458161282942442,0.307,0.12,1.2940563293341602e-204,16,DHX9
1.2816776629997153e-208,0.48202871527469315,0.723,0.433,4.691068414345258e-204,16,HNRNPK
1.4078718332040117e-208,0.4255643128417008,0.516,0.256,5.152951696710003e-204,16,HNRNPM
1.3819552741901155e-206,0.40734034427207133,0.317,0.126,5.058094499063241e-202,16,SCAF4
2.3205700113745066e-206,0.3717366900868041,0.33,0.133,8.493518298631831e-202,16,HSPA2
2.7151501707225086e-206,0.3573589595304547,0.267,0.098,9.937721139861454e-202,16,EIF3J
8.420770944567364e-206,0.32018686835831456,0.361,0.151,3.082086373421101e-201,16,AKIRIN1
8.840281000604417e-206,0.4979543401744839,0.604,0.334,3.235631249031223e-201,16,DRAP1
6.2562012399644006e-204,0.4229518868582939,0.352,0.148,2.28983221583937e-199,16,GSTM3
3.6149192526685935e-202,0.4896264582957004,0.733,0.445,1.323096595669232e-197,16,ENO1
4.529463830957442e-202,0.41708320355844064,0.476,0.232,1.6578290567687333e-197,16,SET
5.554025854854292e-202,0.37395059047239787,0.286,0.108,2.0328290031352195e-197,16,NAP1L4
8.53177986159641e-202,0.48207159990906623,0.275,0.103,3.122716747142902e-197,16,RCOR1
9.786376334058805e-202,0.5545115617453469,0.333,0.138,3.5819116020288635e-197,16,EHD4
1.06069470389009e-201,0.4371821150225461,0.912,0.899,3.882248685708118e-197,16,RPL5
1.363716179896117e-201,0.44807443613473885,0.654,0.379,4.991337590037778e-197,16,SNU13
1.429221662480309e-201,0.4242243761457902,0.654,0.366,5.231094206844179e-197,16,SERTAD1
2.0570454767708343e-200,0.5443251129955371,0.767,0.526,7.52899214952893e-196,16,SERP1
3.2656191785106165e-200,0.4414537619893014,0.264,0.098,1.1952492755266706e-195,16,TOR1AIP1
6.705747965367124e-200,0.5706999455965471,0.842,0.582,2.454370812804021e-195,16,DDX5
2.763583274544042e-199,0.4837804427132171,0.41,0.186,1.0114991143158647e-194,16,ANKHD1
3.67385908580668e-199,0.41377532125445826,0.291,0.112,1.3446691639961029e-194,16,RNF168
3.9432093692022765e-199,0.38536049031386976,0.288,0.111,1.4432540612217252e-194,16,SBNO1
5.093303096081709e-199,0.7162107385884418,0.421,0.198,1.8641998661968664e-194,16,PLEC
1.594342128141645e-197,0.8014280322040372,0.806,0.519,5.835451623211235e-193,16,HSPA5
2.144817186751359e-197,0.49249343985965544,0.613,0.338,7.850245385228649e-193,16,RBM25
4.055896873274214e-197,0.3591020326490062,0.914,0.941,1.484498814587095e-192,16,RPL18
1.9998671873409542e-196,0.37891536661126446,0.329,0.136,7.319713892386626e-192,16,PSMD6
2.7858601123369356e-196,0.4553917600220143,0.331,0.139,1.0196526597164418e-191,16,HDGF
3.7060828026065276e-196,0.4117938076117349,0.432,0.201,1.3564633665820152e-191,16,ACTN4
6.090246404253401e-196,0.34343973466924216,0.395,0.177,2.2290910864207873e-191,16,COPS2
1.3592878360883695e-195,0.4057312485382046,0.262,0.098,4.975129408867041e-191,16,PMEPA1
2.313348000060248e-195,0.45372928113516586,0.621,0.348,8.467085015020515e-191,16,ALDOA
5.334062014300537e-195,0.4088114465928938,0.584,0.31,1.9523200378541396e-190,16,EIF4A3
1.835557617083082e-193,0.41201251461771793,0.256,0.095,6.718324434285788e-189,16,NUP153
2.5284518004415036e-193,0.34302100355038334,0.455,0.219,9.254386434795947e-189,16,BUD31
5.667156715247246e-193,0.45015572120153213,0.603,0.332,2.0742360293476446e-188,16,RAB7A
3.521379861897781e-192,0.37243283098971836,0.342,0.146,1.2888602432532068e-187,16,RAD23B
1.4978908369543756e-191,0.36975727817850046,0.415,0.193,5.48243025233671e-187,16,CAMTA1
3.139899325864685e-191,0.5704440421443149,0.797,0.565,1.1492345522597333e-186,16,PRDX1
1.0715494375641267e-189,0.47083868194373724,0.29,0.116,3.92197809642846e-185,16,BAIAP2
2.1734766932579438e-189,0.35062178534033095,0.309,0.125,7.9551420449934e-185,16,SAFB
3.835990014285966e-189,0.5575943086628332,0.401,0.186,1.4040107051288064e-184,16,SPEN
4.8331604151795785e-189,0.3693738196806513,0.639,0.35,1.7689850435598774e-184,16,PLP2
6.2124916657833334e-189,0.5084203353547028,0.533,0.275,2.273834074593358e-184,16,ARGLU1
7.018655081915707e-189,0.5689347299343788,0.873,0.661,2.568897946531968e-184,16,EIF4A1
5.343944892689051e-186,0.36535174224526246,0.294,0.118,1.9559372701731196e-181,16,WAPL
2.0137544530638005e-185,0.5086193006789845,0.271,0.105,7.370542673658816e-181,16,PTPRE
2.966940094886284e-185,0.3870267460152237,0.452,0.221,1.0859297441293288e-180,16,CCT8
1.4103965865518538e-184,0.47446250715649985,0.347,0.152,5.16219254643844e-180,16,USP12
1.9033741984789201e-184,0.5574419788479159,0.884,0.668,6.966539903852695e-180,16,ANXA1
2.0717238889452065e-184,0.389165625981406,0.838,0.614,7.582716605928351e-180,16,TXN
2.2737037060358155e-184,0.5153849833914563,0.698,0.419,8.32198293446169e-180,16,HNRNPU
1.830151886377812e-183,0.4651974879592199,0.39,0.18,6.69853891933143e-179,16,RTN3
2.3816668809179687e-183,0.34856672602467786,0.424,0.202,8.717138950847857e-179,16,PPP4R2
2.508496933696875e-182,0.3118251946274673,0.322,0.136,9.181349627023932e-178,16,SNRPE
6.406769681249817e-182,0.45969534407857815,0.267,0.104,2.3449417710342456e-177,16,RNMT
1.2182078506032486e-181,0.3668237639770833,0.459,0.228,4.45876255399295e-177,16,NGRN
1.8212744646646663e-181,0.3465817322631086,0.258,0.099,6.666046668119145e-177,16,DESI2
1.9983753878068906e-181,0.36520395013570806,0.532,0.28,7.314253756912e-177,16,STRAP
9.724756214201906e-181,0.4572520987727351,0.418,0.202,3.55935802196004e-176,16,SELENOS
5.389651271234061e-180,0.30639588828609976,0.291,0.118,1.9726662617843787e-175,16,PDCD10
2.420918249246683e-179,0.5854939178410428,0.738,0.479,8.860802884067784e-175,16,TPM4
9.558706453976108e-179,0.5255690197258935,0.319,0.136,3.4985821492197955e-174,16,SDHA
1.2767505917731325e-178,0.33577218122999253,0.401,0.185,4.673034840948842e-174,16,NOP58
4.057732265275309e-178,0.4399401992660914,0.438,0.214,1.4851705864134158e-173,16,RBBP6
6.681847360235425e-177,0.32973144135215493,0.29,0.118,2.445622952319768e-172,16,PSMC6
2.1161199883630617e-176,0.2950813778726832,0.334,0.144,7.745210769407642e-172,16,MEAF6
2.5813263324753974e-176,0.528025908287431,0.283,0.114,9.447912509493202e-172,16,ZFC3H1
4.270525373511599e-176,0.3877252007054395,0.454,0.224,1.5630549919589805e-171,16,DNTTIP2
1.4521770216202402e-175,0.2846671299183444,0.309,0.13,5.3151131168322415e-171,16,MRPS36
1.461673217666908e-175,0.36622779175809494,0.311,0.131,5.34987014398265e-171,16,IST1
3.306868886733352e-175,0.334352256141757,0.328,0.141,1.210347081233274e-170,16,RAB5A
3.396228517666323e-175,0.3648654003318741,0.609,0.343,1.243053599751051e-170,16,EIF3E
1.0715203263402308e-174,0.27329515395702164,0.408,0.192,3.921871546437879e-170,16,TOMM22
2.6894964287352804e-174,0.5459983714332151,0.455,0.23,9.843825878814e-170,16,SRRM2
3.643686647918935e-174,0.4453703985915958,0.991,0.943,1.3336257500048092e-169,16,MT-CO3
4.479213067700604e-174,0.2801281405681021,0.252,0.097,1.639436774909098e-169,16,ARMC10
7.857556964731802e-174,0.4294499048767806,0.448,0.221,2.8759444246614866e-169,16,TMED5
8.494994112675202e-174,0.3326742802183501,0.38,0.175,3.1092527951802505e-169,16,TOX4
3.57762925655115e-173,0.3925795899265685,0.374,0.169,1.3094480841902863e-168,16,PTPN1
5.570744220488673e-172,0.5997280608352951,0.558,0.302,2.038948092141059e-167,16,TAF1D
7.714167096808683e-171,0.4229702174444989,0.612,0.347,2.823462299102946e-166,16,SRSF2
1.1369073563952174e-170,0.33141069042640403,0.331,0.143,4.1611946151421354e-166,16,TGFBI
1.4808526089251015e-170,0.4860027833168521,0.395,0.186,5.420068633926764e-166,16,IVNS1ABP
2.1546105604848666e-170,0.3666337665100756,0.561,0.311,7.88609011243066e-166,16,NDUFB9
2.4212481751727076e-170,0.37629059477903726,0.421,0.207,8.862010445949627e-166,16,LRRC59
5.999209590546335e-170,0.32205322681214266,0.32,0.139,2.1957707022358643e-165,16,SARS
6.028340829418843e-170,0.40492139625948753,0.631,0.365,2.206433026975591e-165,16,SF1
7.44480440107998e-170,0.49056345718742467,0.6,0.34,2.7248728588392837e-165,16,SON
1.9343766000165143e-168,0.5517554015281689,0.8,0.548,7.080011793720444e-164,16,MCL1
2.864807697910683e-168,0.4195392358162646,0.88,0.609,1.0485482655122892e-163,16,ANXA2
4.815551858985899e-168,0.4082553889567371,0.365,0.169,1.762540135907429e-163,16,GOLGB1
5.629277535306041e-168,0.40143436245419944,0.256,0.101,2.060371870697364e-163,16,TPBG
1.4209737604786797e-166,0.30268728644200493,0.958,0.941,5.200906060728016e-162,16,ACTB
1.8975674470314203e-166,0.3329469849037311,0.376,0.176,6.945286612879702e-162,16,GNAI3
2.3353717944994712e-166,0.45753610482232343,0.549,0.301,8.547694305047514e-162,16,YBX3
3.9682229103433047e-166,0.3406780013265911,0.565,0.311,1.452409267414753e-161,16,TOMM20
2.255876907413156e-165,0.2627876414050073,0.356,0.161,8.256735068822892e-161,16,GTF2B
5.4637347877594e-165,0.41550518065992126,0.36,0.165,1.9997815696678182e-160,16,NIPBL
1.184745778885851e-164,0.43581348679718745,0.62,0.36,4.336288025300103e-160,16,ATP6V0B
2.481064932735593e-164,0.281941311602002,0.311,0.134,9.080945760305543e-160,16,EIF2A
4.091841043165487e-164,0.4299519552494342,0.831,0.639,1.4976547402089998e-159,16,RPL7
9.631493556421644e-164,0.32177554088213745,0.469,0.239,3.525222956585886e-159,16,EIF3M
2.1821523865956828e-163,0.4576500134281668,0.321,0.142,7.986895950178858e-159,16,ANKLE2
3.1422462279729196e-163,0.418661201604698,0.712,0.454,1.1500935419003682e-158,16,HNRNPA0
2.991604172524348e-162,0.38367322135645043,0.905,0.886,1.0949570431856366e-157,16,RPS6
1.0850355877404525e-161,0.2508761560273054,0.335,0.149,3.97133875468883e-157,16,UBA2
2.272641104319811e-161,0.27922440859321096,0.26,0.105,8.318093705920941e-157,16,RPL7L1
2.8542340175606307e-161,0.5237434404037202,0.317,0.141,1.0446781927673665e-156,16,NFAT5
6.3393016698507486e-161,0.3801015584575054,0.532,0.289,2.3202478041820725e-156,16,GAS5
8.796713593033879e-161,0.37197306481584724,0.416,0.203,3.2196851421863303e-156,16,EMP2
1.1778599807640441e-160,0.4429269597363108,0.737,0.491,4.311085315594478e-156,16,GNG5
8.616674479799079e-160,0.42362573044359464,0.693,0.43,3.1537890263512607e-155,16,HNRNPC
1.421108365240563e-159,0.33327773226646173,0.448,0.228,5.201398727616985e-155,16,YWHAH
1.7172578103253053e-158,0.4356061613416866,0.667,0.41,6.28533531157165e-154,16,ARL6IP1
2.151132684141148e-158,0.26964987979015465,0.372,0.176,7.873360737225016e-154,16,MMADHC
2.429110555885008e-158,0.31974871336928334,0.456,0.236,8.890787545594719e-154,16,TXNL1
8.569890524645864e-157,0.4076412083836265,0.557,0.308,3.136665630925633e-152,16,DDX3X
2.0587391220024763e-156,0.4536194738875514,0.687,0.422,7.535191060441263e-152,16,EIF5
5.039546196936158e-156,0.34339913274136347,0.576,0.33,1.8445243035406032e-151,16,RHEB
7.075893157603715e-156,0.4547109566797859,0.291,0.127,2.5898476546145357e-151,16,MPZL1
8.484822187348698e-156,0.28639706398678255,0.278,0.117,3.105529768791497e-151,16,WIPI2
2.533810610752915e-155,0.3440941009106233,0.451,0.231,9.274000216416745e-151,16,PAK2
5.458662355843173e-155,0.3198589051600922,0.406,0.201,1.9979250088621599e-150,16,IMP3
1.1023273036350943e-154,0.45420797100448973,0.312,0.14,4.034628164034809e-150,16,PCF11
1.753684669060922e-154,0.3966174030454419,0.426,0.215,6.418661257229881e-150,16,SCAF11
1.9360290633033793e-154,0.4360342768667742,0.789,0.552,7.086059974596699e-150,16,UBE2D3
2.4696799336643745e-154,0.251466807861944,0.287,0.12,9.039275525204977e-150,16,CCND2
2.507909424179942e-154,0.3937994760376633,0.42,0.211,9.179199283441006e-150,16,KPNB1
