p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
4.407149671287039e-34,0.48275898034799436,0.544,0.454,1.613060851187769e-29,0,MT-ATP8
2.563827628607816e-32,0.6875533234840423,0.313,0.226,9.383865503467466e-28,0,CNOT6L
4.204598838061252e-31,0.34450600847382473,0.686,0.618,1.5389252207187988e-26,0,MT-ND5
9.546750939670023e-31,0.2509986530822532,0.898,0.863,3.4942063114286253e-26,0,RPLP2
3.249912903780796e-30,0.29614267896212,0.815,0.789,1.189500621912809e-25,0,RPL23A
7.720724307190527e-30,0.6053957892392985,0.38,0.295,2.8258623036748046e-25,0,TGFB1
8.51348124880969e-29,0.3875815940377394,0.637,0.584,3.116019271876835e-24,0,PTPRC
2.2687943151246566e-27,0.3720914371772128,0.715,0.681,8.304014072787755e-23,0,PNRC1
3.7219937606017857e-26,0.6389430090679407,0.273,0.196,1.3622869363178595e-21,0,FYN
8.105884670330215e-26,0.5909127732417057,0.309,0.231,2.966834848187562e-21,0,ATP1B3
5.330878336824111e-24,0.5149566004941692,0.438,0.361,1.9511547800609927e-19,0,BIRC3
5.497931192328904e-24,0.5147841609352017,0.387,0.311,2.012297795704302e-19,0,JUND
2.7249154948650113e-22,0.31728933833051753,0.665,0.63,9.973463202755428e-18,0,RPL13A
8.593615519583768e-21,0.518752130922262,0.351,0.287,3.145349216322855e-16,0,WIPF1
1.8185552579432942e-20,0.3091314595723498,0.855,0.831,6.656094099598251e-16,0,MTRNR2L12
1.0509423959826618e-15,0.5311344005420413,0.293,0.24,3.8465542635361405e-11,0,FGFR1OP2
9.830468821929516e-15,0.44059228579224774,0.371,0.326,3.598049893514422e-10,0,STK17A
7.41871944445706e-14,0.4668644169205731,0.283,0.232,2.7153255038657287e-9,0,RNF19A
3.370049466661823e-13,0.4488303312316053,0.316,0.27,1.2334718052928939e-8,0,TNFRSF1B
4.5354809432122e-13,0.2564783995328095,0.529,0.491,1.6600313800250974e-8,0,H2AFZ
6.073511977218983e-13,0.4734492464821123,0.307,0.262,2.22296611878192e-8,0,CDK2AP2
1.4128947130352552e-10,0.28702780275831996,0.518,0.502,5.1713359391803375e-6,0,ATP6V0C
2.142240760407404e-8,0.43326314107889763,0.25,0.219,7.840815407167139e-4,0,SEPTIN7
2.1750900067512366e-8,0.32564192095094624,0.403,0.384,7.961046933710201e-4,0,RPL27A
2.781342111242e-8,0.27623451189376347,0.437,0.419,0.0010179990261356844,0,STK4
3.335351061624765e-8,0.33282026476331383,0.393,0.377,0.0012207718420652802,0,RPS29
1.5464751020904193e-7,0.3264411465721695,0.312,0.285,0.005660253521161143,0,ARL6IP1
7.675633112996341e-7,0.35367748993514025,0.27,0.246,0.028093584756877905,0,CDC42SE2
1.5225648725280762e-6,0.36866778000793365,0.285,0.258,0.055727396899400115,0,GNG2
3.2442078055259973e-6,0.3624016943988515,0.293,0.271,0.11874124989005704,0,BAZ1A
4.393831914999069e-5,0.2612676552807436,0.385,0.371,1,0,FLNA
